样本ID,alltext,Sample ID,G1,G2,G3,L1,L2,L3,R1,R2,R3,C1,C2,C3,C4,C5,OT,NS,sequence
0,"全球公共安全合作论坛（连云港）2025年大会掠影
9月17日，全球公共安全合作论坛(连云港)2025年大会在江苏省连云港市开幕。图为论坛开幕式现场。
初秋的连云港，海风清润，天高云阔。伴着阵阵潮声，一场关乎全球公共安全的对话，穿越山海，久久回荡。
来自120个国家、地区和国际组织的近2000名代表，共赴全球公共安全合作论坛（连云港）2025年大会。不同肤色的面容辉映着同一片愿景——那是对持久和平、普遍安全的共同期待，是对更加公正合理全球治理体系的共同眺望。
人们因同一愿景而对话。大会主题“共塑全球公共安全：团结行动，应对多元威胁”，不仅印在会议文件上，更回荡在每一场发言、每一次握手、每一个凝神倾听的瞬间。在这里，与会代表共话风险与挑战，共享智慧与决心，和而不同、同舟共济。
人们因同一愿景而团结。面对数字恐怖主义、电信网络诈骗、合成毒品等传统与非传统安全威胁，没有一国能够独善其身。会场之内，掌声一次次响起，那是认同更是信念——唯有团结，方能应对多元挑战。
人们因同一愿景而行动。从与会代表高度赞赏的全球治理倡议，到多方响应的国际打击电信网络诈骗联盟，从《国际警察教育合作“三个一”行动计划》的发布，到应对数字恐怖主义、合成毒品的倡导倡议，2025年大会正以实实在在的行动，将理念转化为路径，将共识推进为机制。
潮平海阔，乘风好去。
从连云港再出发，同一愿景正跨越山川与大海，召唤着更为广泛务实的全球公共安全合作。中国愿与各国一道，积极践行全球安全倡议、全球治理倡议，以合作促安全、以安全保发展，为动荡不安的世界注入稳定性和确定性。",CPD_20251030175023403_eaa88e3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,"齐齐哈尔市公安局：汲取精神力量 践行为民初心1931年11月4日，嫩江畔的枪声划破沉沉的东北寒夜，马占山将军率部在江桥开始武装抗日，齐齐哈尔这座城市自此烙印下永不褪色的抗日印记。90多年后的今天，黑龙江省齐齐哈尔市公安局的民警们沿着先烈足迹，将抗战精神熔铸进守护平安的血脉中，在历史与现实的交织中书写新时代人民公安的使命答卷。
伴随着灯光效果和震耳欲聋的枪炮声，场景化的教学内容让抗战历史教育具象化。在泰来县江桥抗战纪念馆2号展厅，128平方米的“声光沙盘”重现着当年的烽火岁月。泰来县公安局政工室主任徐兆军介绍，作为“青字号”品牌培育工程的重要一课，泰来县公安局每年都会组织新警在马占山铜像前举行入警宣誓。这种沉浸式教育已成为齐齐哈尔市公安政治建警的特色品牌。近年来，齐齐哈尔市公安局深入实施政治铸魂引领工程，紧密结合“清明”“九·一八”“中国人民抗日战争胜利纪念日”等时间节点，依托当地红色资源，先后组织40批次共计1900余名民警辅警开展政治忠诚教育活动，引导全体民警辅警进一步坚定理想信念、夯实信仰根基、强化使命担当。
在鹤城公安教育基地的英烈墙前，杨文峰烈士的笔记本内容永远停留在2015年6月未完成的7项工作上。这位在抓捕持枪歹徒行动中英勇牺牲的老刑警不会想到，自己当年未竟的公安事业，正由他的儿子杨楠这个电子信息工程专业的高材生推向新的维度。面对电信网络诈骗等新型犯罪，杨楠带领团队研发出“鹤城反诈预警模型”，为群众止付挽损3000余万元。
在富拉尔基区铁北街道，曾住着一位抗战老兵王振江。老人在世时，辖区民警常会来到他的家中，听他讲述抗战历史，学习抗战精神。王振江老人去世后，这些抗战故事仍通过民警的口述，在群众中传颂。每逢周末，辖区民警邹德莹都会在“警营小课堂”上，向孩子们讲述王振江老人的抗战故事。邹德莹说：“每讲一次王老的故事，对我来说都是一次精神上的洗礼。我们一定要传承好抗战精神。”
在抗战精神的激励与感召下，齐齐哈尔公安机关深化“四所一庭一中心+N”联调联动解纷模式，强化源头治理、监测预警，将各类矛盾纠纷解决在基层、化解在萌芽。同时，他们纵深推进常态化扫黑除恶，扎实开展各类专项行动，严厉打击各种突出违法犯罪，全力守护人民群众生命财产安全，用实际行动践行为民初心。",CPD_20251030175023406_ae9a8d72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,"女士被骗邮寄黄金 民警巧擒不法分子“黄金我已经邮寄出去了！”近日，辽宁省沈阳市民刘女士神色匆匆地赶到沈阳市公安局皇姑分局三洞桥派出所报警，称自己遭遇邮寄黄金诈骗，导致血本无归。
原来，今年5月初，刘女士一连几日都沉浸在“国外投资公司”的直播间里。直播间内，主播不断宣传着所谓的“高回报”投资项目，承诺低风险、高收益，让刘女士心动不已。在对方一步步的引导下，刘女士彻底放松了警惕，开始按照对方指示行动。
随后，刘女士多次前往本地实体黄金店购买黄金，并通过快递的方式将黄金寄到位于天津的指定快递柜。她满心期待着这些黄金能为自己带来丰厚的回报，却不知自己正一步步走向诈骗分子精心布置的陷阱。
“不要再投资了，你应该是被骗了！”刘女士的朋友得知其投资情况后，凭借敏锐的直觉和丰富的经验，迅速察觉到这可能是一场骗局，于是急忙提醒刘女士。刘女士听后如梦初醒，冷静下来仔细分析，越想越觉得不对劲，意识到自己可能真的遭遇了诈骗。为挽回损失，刘女士选择了报警。
接到报警后，皇姑分局刑警大队和三洞桥派出所同步上案，展开了一场与时间赛跑的侦查行动。根据侦查中心提供的线索，办案民警兵分两路：一路警力积极协调快递公司，全力追踪黄金的流向，以摸清诈骗分子的作案轨迹；另一路警力马不停蹄地赶赴天津，实地开展排查工作。
在天津警方协助下，办案民警通过调取快递柜周边的公共视频，发现4名取件人在取件时均戴帽子、口罩、墨镜，将面部遮挡得严严实实，形迹可疑。为了获取更多有价值的线索，民警调取沿途近百小时的公共视频资料，开展排查走访工作。经过不懈努力，民警成功锁定3名犯罪嫌疑人并果断出击，将郑某、刘某（男）和刘某（女）抓获。
然而，此时仍有1名犯罪嫌疑人潜逃。为尽快将犯罪嫌疑人抓捕归案，民警与受害人刘女士沟通后，决定再“追加”一笔投资，以此引蛇出洞。随后，民警将事先准备好的一盒铁钉邮寄到指定地址，布下了一张无形的大网。
“注意，有人来取快递了！”当犯罪嫌疑人陈某出现在快递点时，蹲守在周围的民警立即上前将其抓获。民警在陈某的手机中发现，还有7个快递正在运输途中。随后，民警迅速行动，将涉案快递全部查获。
经查，这些快递分别来自5名受害人，黄金总重量达230克，价值20余万元。经审讯，4名犯罪嫌疑人如实供述了帮助诈骗分子运输“黄金快递”的犯罪事实。至此，这起电信网络诈骗案件告破。
目前，犯罪嫌疑人郑某、陈某、刘某（男）、刘某（女）已被公安机关依法采取刑事强制措施，查获的黄金也已陆续返还给受害人。
警方提示
投资需谨慎，广大市民切勿轻信直播间等网络渠道宣传的所谓“高回报”投资项目，更不要轻易通过邮寄黄金等方式进行投资，以免陷入诈骗陷阱，遭受财产损失。一旦发现可疑情况，应及时向公安机关报警。",CPD_20251030175023407_6739a09b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,["G1"]
3,"长丰：创新宣传载体 快递车变反诈宣传阵地中国警察网讯 为切实提升群众防范电信网络诈骗意识，守护群众财产安全，近日，安徽省长丰县公安局反电诈中心紧密结合全民反诈宣传月活动部署，积极创新形式进行反诈宣传。
精准研判宣传需求，针对快递配送车辆流动性强、覆盖面广的特点，专门设计制作了反诈宣传贴纸，并组织投放至县域各主要快递网点，指导快递员将贴纸规范、醒目地张贴在快递配送车的车身显著位置，此举使大量快递配送车辆化身为流动的“反诈宣传车”。
这些车辆每日穿梭于城乡街道、社区和商业区，将反诈知识高效送达群众身边，有效扩大了宣传覆盖面和渗透力，营造了浓厚的全民反诈氛围，实现了反诈宣传与群众日常生活的紧密融合。
下一步，长丰县反电诈中心将持续深化反诈宣传工作，不断创新宣传载体与路径，拓展线上线下渠道，提升宣传精准性和实效性，进一步筑牢防范电信网络诈骗的基层防线，为辖区群众创造安全稳定的社会环境。",CPD_20251030175023409_9b6349aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
4,在Youtube看到的詐騙廣告，只是用了台灣國旗跟台灣名義，若您瀏覽Youtube時有看到千萬別被騙參與啊,FACEBOOK_20251102143504467_ec6bbf8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5,刚刚看到这个链接邀请人入住商家，请问这个链接的可靠性？ https://www.dealshakerhub.vip有位朋友分享！,FACEBOOK_20251102143601307_18de3e69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6,麻煩詐騙集團用點心好嗎？截圖內容都一樣除了發言人不同.蝦爆了啦,FACEBOOK_20251102143623458_4a51a51d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7,詐騙不要上當,FACEBOOK_20251102143624892_26dfd953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
8,港股代碼00487，實德環球害人不淺！,FACEBOOK_20251102143643413_0b6cd7f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9,各位大人有有人可以幫幫我嗎？請問一下各位大大因創業資金需求，找了間房子做二胎這間還是說請某個形象參考的演藝圈的國民媽媽代言！和對方一直是在線上諮詢！然後線上填寫資料！業務跟我聯絡說ok了，隔天說要對保，是某家很有名的企業之相關集團.叫我跟這業務聯絡為窗口跟對保....說過程會..有有一台車過戶到我的名下！然後再用我貸款金額入我戶頭把我的車買回去...查了之後說的這家上櫃上市的公司並沒有在做房產的業務！當下覺得不對說在Line跟業務說.我不辦了從頭到尾也沒提到車.聽起來就怪怪的..還跟我說打文字說這個是消費型房貸！！我哭的慌忙的打到165防詐騙中心申訴....今天10月14號我收到這一家@@公司的存證信函索賠違約金45萬元這合理嗎,FACEBOOK_20251102143656005_c1dec1d7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,["R3"]
